Wireless,N
Head Rest,Tight fit but does the job its supposed to do. 
Not Blocking The View,ts very comfortable and appears to be very safe
Head Rest Is Removable,we dont need to compromise on quality or style.
Padding,you have to use P S A or M modes with the D3100
Seat Padding, car seat is very easy to get baby in and out of
Speed,.  Apparently this is a discussed firmware issue
Expertise,. Definitely worth doing business with companies
Installation,3 of 3 people found the following review helpful
Quality,breathe so she remains a comfortable temperature
Features,figure that a 17in. wide infant car seat will do
Comfort,I did a lot of research going into the purchase.
Installation,I have only scratched the surface of my purchase
Head Rest,instructions were a little hard for me to follow
Quality,No good priced  normal  50mm/35mm lens available
Design,Relatively light about 1 kg / 2 pounds with lens
Installation,T2i vs the T3i there isnt much that is different
#N/A,theyre essentially sitting on the hard plastic. 
Installation,ultimate walk-around lens for a crop body camera
Head Rest, I understand each car seat has to meet standards
Safety, its very comfortable and appears to be very safe
FIt, material was soft and fuzzy very comfortable for
Safety, Relatively light about 1 kg / 2 pounds with lens
Safety,79 of 81 people found the following review helpfu
Safety,As soon as you move up to manual for full control
Features,I am very pleased that I purchased this car seat.
Installation And Others,I opened the box and easly instaled it in the car
Installation,its very comfortable and appears to be very safe.
Install,No good priced  normal  50mm/35mm lens available.
Installation And Others,rugged enough that I dont worry about breaking it
Needs Uv Filter,seat seams padded well and comfortable for my son
Comfort,So theyre essentially sitting on the hard plastic
Comfort,soft and fuzzy very comfortable for a little baby
Comfort,The lens makes noises when youre recording videos
Comfort,The material is easy to take off and machine wash
Cleaning,we will shoot the video only with our Nikon D3100
Durability,Works perfectly with the Snap N Go stroller piece
Durable, chose it because it has the highest safety rating
Design, its very comfortable and appears to be very safe.
Straps, soft and fuzzy very comfortable for a little baby
Straps,20 of 20 people found the following review helpful
Straps,79 of 81 people found the following review helpful
Installation And Others,95 of 97 people found the following review helpful
Adjustable,go for a single lens which covers the entire range
Features,GRID functions. These work only in LIVE VIEW MODE 
Components,It holds the girls very secure and they love them.
Adjustable Straps,It is as many have explained before a little small
Noise,It is side crash tested and the base is adjustable
Quality,My son fits comfortably in it and has so much room
General,seat seams padded well and comfortable for my son.
Video,So theyre essentially sitting on the hard plastic.
Video Quality,T3i however adds frequent and unpredictable delays
Value,where the baby sits there is absolutely NO padding
User Comparison,Works perfectly with the Snap N Go stroller piece.
Control, chose it because it has the highest safety rating.
Price, I love that it has a higher weight limit as well. 
Price, It is side crash tested and the base is adjustable
Installation, its very comfortable and appears to be very safe. 
Chair Is Excellent Quality,a lot of my review is based on comparison to Nikon.
Car Fits,a very tight space to use the light blue head rests
Baby Comfort,adjustable you can recline it at 3 different levels
Installation,buckle system is heavy duty and easy to use as well
Delay,designed car seat and the price is very reasonable.
Aperture,easy to install especially as compared to the graco
Design,eat I found this to be a great deal for the price. 
Comfort,head rest is removable which does not block my view
Safety,I chose it because it has the highest safety rating
General Performance,I would recommend to get a high speed memory card. 
Comfort,it IS what made me choose this model over the T2i. 
Comfort,regretting the black fabric in Texas summers though
Comfortability,where the baby sits there is absolutely NO padding.
Ease Of Use, May be regretting the black fabric in Texas summers
Installation,246 of 269 people found the following review helpful
Installation,699  including the VR 55-200mm + camera bag with DVD
Installation,Also i loved the guide mode when in doubt use guide.
Installation,dicated iso button making it easy to change quickly.
Installation,first one to have a serious lack of adequate padding
Install,fits really snugly in my car and doesnt move around.
Ease Of Installation,fits well in the middle seat in my midsize infiniti.
Features,hands-down that the T2i is the one I will keep.  Why
Installation,I chose it because it has the highest safety rating.
Installation,It is bigger than a lot of other car seats out there
Installation,No wireless remote.2. Low resolution of LCD screen. 
Installation,since it was out of stock at Amazon and also with 10
Installing,The instructions were a little hard for me to follow
Installation,This car seat is very easy to get baby in and out of
Car Fits,update to the Nikon D3000 that a friend of mine has.
Design,White balance in Full auto mode sometimes messes up.
Weight Limit,  I chose it because it has the highest safety rating
Features, Auto point and shoot Mode was not taking the quality
Resolution, I purchased the camera has been extremely gratifying
LCD Screen, shutter and the camera will instantly take a picture
LCD Screen,and I love that it has a higher weight limit as well.
LCD Screen,frequent and unpredictable delays when  busy  flashes
Lcd,Graco SnugRide 30 Infant Car Seat Metropolis by Graco
Attribute- Pixel And Grain Makeup,great option for those of us who cant afford a Britax
Cons- Screen ,he seat seams padded well and comfortable for my son.
LCD Display,My daughter loves this carseat - its very comfortable
Design,The First Years True Fit Recline Convertible Car Seat
Beginner Friendly,The instructions were a little hard for me to follow 
Price,the seat seams padded well and comfortable for my son
Value,This car seat is very easy to get baby in and out of 
Price For Quality ,user friendly whether you have read the manual or not
Built In Flash,White balance in Full auto mode sometimes messes up. 
Seat Protector,Will edit this if this does not turn out to be true. 
User Credibility,  I chose it because it has the highest safety rating.
Installation, but it could be in some of the smaller cars out there
High Weight Limit,but where the baby sits there is absolutely NO padding
Installation,Cant adjust strap length while in rear facing position
Quality,decided hands-down that the T2i is the one I will keep
LCD Screen,difficult to install rear facing with the vehicle belt
Lcd,guess now i can finally retire my mini DV video camera
Installation,I am not a professional so please dont take my opinion
Installation,I decided that this model offered me the best balance.
Easy Installation,My daughter loves this carseat - its very comfortable 
Battery,the buckle system is heavy duty and easy to use as wel
Body,The seat is easy to install and buckle her into as wel
Battery Life,This also has very nice fabric thats soft to the touch
Battery Life,ts an excellent camera for ANY level of photographer -
Battery Life,Both were delivered super fast and in perfect condition
Battery Life,but where the baby sits there is absolutely NO padding.
Battery,Canon T3i was the best deal at 789.99 with the lens kit
Battery,Cant adjust strap length while in rear facing position.
Battery,easy to install please do read all the directions first
Battery,its a very tight space to use the light blue head rests
Accessories,My only issue with the T3i concerns the GRID functions.
CONS - Battery,protects my little girl and it provides comfert for her
Poor Battery Life,T3i over the T2i because of the articulating LCD screen
Video,The seat is easy to install and buckle her into as well
Automatic Built In Flash ,What I also love about it is the head rest is removable
Cleaning,you can simply use manual focus which is not difficult.
Quality- Difficult To Clean, Low resolution of LCD screen. It only has 230000 pixels
Adjust,all the controls fit my hand nicely and it feels natural
Cleanable,Both were delivered super fast and in perfect condition.
Style,Canon T3i was the best deal at 789.99 with the lens kit.
Comfort,Cant adjust strap length while in rear facing position. 
Zoom,difficult to install rear facing with the vehicle belt. 
Quality,its a very tight space to use the light blue head rests 
Safety,light enough that I dont mind carrying it around all day
Installation,makes changing settings very simple when in manual mode.
Installation,My only issue with the T3i concerns the GRID functions. 
Install,purchased an extra one to have in his 06Nissan Frontier.
Efficiency ,T3i over the T2i because of the articulating LCD screen.
Installation,the buckle system is heavy duty and easy to use as well.
Ratings,the part that attaches to the headrest DOES NOT come off
Name Of Product,The seat is easy to install and buckle her into as well.
Weight Limit,The T2i is FAST.  I shoot my toddler in continuous mode 
User Credibility,you do need a rolled up towel or pool noodle underneath 
Rear Facing, the buckle system is heavy duty and easy to use as well.
Screen,car seat was delivered one day after I ordered it online.
LCD Screen,easy to install and adjusting the straps as the kids grow
Flip Out LCD,I bought the T2i first then decided to upgrade to the T3i
Display,is a Honda Civic so it was a little tricky to get it in. 
Comfort,Minimal shutter lag good low-light performance nice video
Picture Quality,My hubby and Father-in-law set this up in about 7 minutes
Quality,My son fits comfortably in it and has so much room verses
Video Quality,rom when I opened the box and easly instaled it in the ca
